kward_in,freqs_in,kward_out,freqs_out
expanding,2,aim,71
re,2,role,67
something,2,development,52
utilised,2,psychological,52
003,1,common,50
120,1,work,48
147,1,implication,43
289,1,woman,43
297,1,address,42
491,1,area,42
508,1,challenge,42
516,1,ageing,41
actor,1,process,39
amp,1,questionnaire,38
approach3,1,within,37
befriending,1,chronic,36
benefited,1,explore,36
caution,1,influence,36
checkpoint,1,loss,36
comm,1,negative,36
commencement,1,association,35
communities,1,disability,35
compatibility,1,especially,35
compiled,1,first,35
confident,1,prevalence,35
directive,1,aspect,34
discrepancy,1,focus,34
dropout,1,non,34
duced,1,functional,33
ect,1,importance,33
enabler,1,multiple,33
endowed,1,variable,33
enjoyable,1,main,32
entire,1,place,32
escape,1,review,32
evaluator,1,situation,32
executive,1,illness,31
exit,1,play,31
fi,1,poor,31
flat,1,primary,31
fluency,1,specific,31
gerijoy,1,behavior,30
gerontechnology,1,consequence,30
gsm,1,even,30
handicapped,1,gender,30
haus,1,professional,30
helper,1,cause,29
host1,1,developing,29
hours,1,include,29
hungary,1,investigate,29
inferential,1,lead,29
invitation,1,symptom,29
lf,1,literature,28
locus,1,men,28
logging,1,resident,28
mailing,1,appropriate,27
median,1,satisfaction,27
phonemic,1,characteristic,26
playful,1,early,26
populous,1,limited,26
posted,1,reduced,26
postintervention,1,stage,26
precisely,1,structured,26
proficient,1,treatment,26
questioning,1,concern,25
recommends,1,independence,25
reflective,1,vulnerable,25
save,1,consider,24
say,1,known,24
scale3,1,like,24
seizing,1,maintaining,24
semantic,1,much,24
semidirective,1,promote,24
shortly,1,recent,24
simplify,1,several,24
slovenia,1,50,23
slows,1,component,23
stranger,1,healthcare,23
strengthened,1,mobility,23
submitting,1,perspective,23
subthemes,1,describe,22
temsed,1,examines,22
termination,1,index,22
ties,1,little,22
trainer,1,mortality,22
uploading,1,solution,22
virtue,1,theory,22
virutal,1,younger,22
volunteering,1,child,21
wait,1,difficulty,21
wau,1,existing,21
waus,1,local,21
weakly,1,nurse,21
wi,1,yet,21
